TestImage,TrainImage,Norm1,Norm2,Norm3,Norm4
image0,imageee1875,655.7554866764817,413.38285368535793,485.20334819762917,375.40242468656226
image0,imageee1058,230.41711617414626,458.43738284520373,29.33028201125915,246.44077400836076
image0,imageee889,433.8885757882314,209.00642480481295,848.8781561221257,630.8806128549993
image0,imageee3363,57.724232819241294,398.90793184466787,249.44951578790437,760.2433645955223
image0,imageee647,116.03257469430757,1067.5016606945253,151.14317367698078,1002.979300066801
image0,imageee4698,783.5845049502641,540.2144170361988,620.0007603300097,930.8560537118024
image0,imageee3390,473.45836306670094,291.286353020906,601.4361858603787,443.46383558706316
image0,imageee4782,627.0981489118665,1011.614722489239,779.8115192907703,1210.768259084896
image0,imageee213,23.356675392058598,829.222748380488,29.9359815601561,999.4368573857482
image0,imageee2214,683.1656353581831,89.7185302278186,291.2019917220861,712.9846682488833
image0,imageee1098,474.69443291017205,230.96325026291547,300.18619294206377,81.7399085941501
image0,imageee2193,821.4858994111339,608.4627435964832,787.2947898987643,549.5677534478255
image0,imageee4099,72.3791925047522,144.26721506565536,194.21304069330668,296.28282758291965
image0,imageee2872,1287.8953508589702,904.2168410965758,525.8087806470332,951.5688778530906
image0,imageee3500,1032.0356661484477,1433.022036392002,1069.419016620417,1130.0504851858566
image0,imageee3623,762.9563763224733,309.24034332717633,1070.783392419097,583.6076177399328
image0,imageee4208,667.1861083476107,442.19595711467093,828.3742816665605,735.2291498999274
image0,imageee230,1359.2418876598128,1316.1197809949365,1562.6043506734868,1376.2538209062168
image0,imageee1869,812.5285607676509,96.36337460456642,851.4046490658012,22.67834432911709
image0,imageee1678,1012.0507889752374,339.66479121170374,977.5609821436927,128.75200891360922
image0,imageee3634,601.1872877890144,546.3975181356523,752.6432701461098,950.0579332819448
image0,imageee526,526.0999318161143,407.4751695691406,692.5718114824989,364.5717431906097
image0,imageee520,1073.097923147678,131.4589046341855,1479.744700741057,419.5307296912707
image0,imageee493,753.26540413122,837.5356291351313,653.5417423065418,882.3201758427095
image0,imageee12,223.0486104959859,558.1191386040169,60.295763732786284,906.1265081974428
image0,imageee2280,591.3594183971786,415.1733400807786,955.1258943013113,277.6562531820413
image0,imageee4862,562.7342764001052,308.9963746241695,562.1006299154803,201.7573466137728
image0,imageee2412,323.4691794488312,874.2621898047689,418.6174323199166,870.3954675429956
image0,imageee633,508.5663461751673,953.4814222989455,1019.5797679119867,668.0984601524987
image0,imageee407,130.56065005004376,713.4447202193733,9.178029765696353,756.0208071144006
image0,imageee968,1374.712687529052,465.37200181023985,1350.4653357959764,603.9737918880255
image0,imageee959,589.9178481450447,1074.320266038922,907.3532559250611,689.2166039640657
image0,imageee1378,467.02680519505503,117.75441390894859,298.5036725432869,44.75350434033053
image0,imageee3849,1096.5422841158927,1077.3214467642,994.4122844845191,841.2320921029874
