Img_Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
imageee4554,0.0,2307.3809,2505.7363,3436.3738,0.0,2516.6077,0.0,2399.681,2443.231,2355.3206
imageee4022,0.0,2047.5574,2256.773,3067.1125,0.0,2254.5464,0.0,2094.8948,2170.847,2072.989
imageee4555,0.0,2976.2668,3192.079,4362.3496,0.0,3174.258,0.0,3103.6726,3118.647,3022.9075
imageee3216,0.0,2496.6274,2671.2908,3657.2007,0.0,2672.7583,0.0,2635.5933,2601.8918,2543.8403
imageee3423,0.0,2707.1287,2904.7305,3995.3655,0.0,2929.2427,0.0,2886.1323,2840.9807,2764.6487
imageee1210,0.0,2774.519,2986.0603,4066.0352,0.0,2965.2456,0.0,2875.897,2873.6614,2822.9463
imageee4254,0.0,2223.158,2375.3252,3271.179,0.0,2377.289,0.0,2357.6836,2332.1829,2278.5928
imageee852,0.0,2627.182,2793.0762,3849.6313,0.0,2830.479,0.0,2779.9543,2743.3926,2673.2551
imageee1339,0.0,2749.7805,2987.861,4068.962,0.0,2957.9363,0.0,2699.2932,2856.1687,2803.7397
imageee199,0.0,3124.7107,3371.5723,4587.8896,0.0,3352.174,0.0,3266.1763,3258.615,3180.4612
imageee957,0.0,2982.066,3224.6418,4379.193,0.0,3211.5234,0.0,3127.3936,3106.0708,3023.3025
imageee3999,0.0,3367.8572,3636.3342,4915.915,0.0,3625.1147,0.0,3597.382,3527.2854,3452.465
imageee3207,0.0,2547.7695,2751.0012,3743.1494,0.0,2723.196,0.0,2671.768,2670.4602,2617.8188
imageee779,0.0,3159.8057,3386.2705,4620.7583,0.0,3370.148,0.0,3202.2664,3281.2812,3182.2056
imageee3358,0.0,2722.403,2949.4636,3993.2485,0.0,2937.5308,0.0,2814.7356,2837.5356,2773.3452
imageee4073,0.0,3360.157,3601.877,4886.0967,0.0,3571.5583,0.0,3515.5144,3483.8792,3388.9084
imageee311,0.0,2325.8433,2500.2722,3407.1409,0.0,2491.1423,0.0,2443.2664,2432.1355,2372.9082
imageee1614,0.0,1898.5416,2073.068,2832.802,0.0,2079.1511,0.0,1917.029,1979.1971,1918.1764
imageee1724,0.0,2454.6553,2620.628,3559.751,0.0,2557.8037,0.0,2584.6243,2513.7822,2491.4229
imageee964,0.0,3070.0942,3284.7344,4462.307,0.0,3293.7964,0.0,3263.0703,3209.5913,3101.944
imageee3865,0.0,2052.004,2210.614,3008.9814,0.0,2197.8994,0.0,2178.8303,2138.613,2092.5327
imageee556,0.0,1749.1769,1891.0803,2563.4658,0.0,1881.2136,0.0,1853.1736,1838.2722,1782.178
imageee1841,0.0,2550.8325,2755.33,3696.266,0.0,2718.388,0.0,2639.3682,2645.4446,2579.1946
imageee3697,0.0,2496.0437,2674.0225,3646.7405,0.0,2645.6035,0.0,2656.53,2615.7053,2527.5232
imageee4081,0.0,2558.7185,2719.7869,3692.7688,0.0,2718.9036,0.0,2701.9216,2650.1597,2595.5667
imageee615,0.0,2509.261,2705.774,3694.4006,0.0,2735.699,0.0,2671.7473,2625.761,2564.8806
imageee2734,0.0,2487.425,2680.501,3615.0796,0.0,2651.1077,0.0,2627.4639,2595.695,2531.124
imageee3264,0.0,2490.7183,2663.526,3628.777,0.0,2653.64,0.0,2719.2192,2606.9963,2539.6084
imageee1335,0.0,2837.2598,3066.7954,4185.054,0.0,3048.2524,0.0,2944.1035,2973.743,2871.983
imageee1554,0.0,1943.251,2099.5093,2834.5776,0.0,2075.7488,0.0,2038.4963,2045.9406,1999.7849
imageee2680,0.0,2451.5518,2663.487,3619.5972,0.0,2604.9224,0.0,2442.413,2604.0752,2502.0837
imageee3549,0.0,1244.2411,1380.7543,1832.6257,0.0,1322.761,0.0,1259.5707,1327.2461,1260.2412
imageee4075,0.0,2039.5818,2187.2012,2986.0479,0.0,2178.7678,0.0,2126.3062,2126.436,2075.1604
imageee3987,0.0,3350.9048,3627.3147,4920.6455,0.0,3586.7073,0.0,3430.6467,3513.0325,3410.3127
imageee4873,0.0,2785.7827,3008.833,4112.2495,0.0,2992.4592,0.0,2815.3948,2908.332,2833.8752
imageee3917,0.0,2630.8748,2831.8442,3846.7659,0.0,2820.299,0.0,2794.235,2742.1865,2669.305
imageee843,0.0,1980.2781,2120.779,2900.0244,0.0,2121.9102,0.0,2077.388,2053.1926,2006.0709
imageee4173,0.0,2020.7246,2160.7754,2974.4138,0.0,2162.587,0.0,2138.8015,2126.233,2053.8577
imageee1228,0.0,2780.9187,2998.658,4071.9478,0.0,2977.7495,0.0,2890.2007,2898.344,2842.6938
imageee4642,0.0,3290.0457,3544.4097,4805.5957,0.0,3533.6487,0.0,3508.1536,3445.7275,3354.505
imageee257,0.0,2450.8481,2630.761,3578.4585,0.0,2631.5745,0.0,2622.5464,2571.6167,2512.9907
imageee3815,0.0,2165.4526,2339.235,3191.3005,0.0,2336.8528,0.0,2300.577,2274.0044,2203.1665
imageee1900,0.0,3430.0366,3709.58,5018.0957,0.0,3708.0413,0.0,3602.175,3580.327,3483.5015
